STT;Dia;GDCD;Hoa;Li;Ma_mon_ngoai_ngu;Ngoai_ngu;Sinh;Su;Toan;Van;sbd;diem to hop;Diem trung binh;Diem xet tot nghiep;Dieu kien tot nghiep
3145;7;8.25;;;N1;6.2;;4.75;6.6;7.25;51003161;6.7;7.4;7.5;Dat
3146;;;5.75;3.25;N1;5.2;4.25;;6.2;5.25;51003159;4.4;9.8;7.2;Dat
3147;6.75;7.25;;;N1;2.6;;4.5;4.2;5;51003169;6.2;9.2;6.5;Dat
3148;;;4.25;2.75;N1;2.8;3.25;;6.4;6;51003171;3.4;6.3;5.7;Dat
3149;6.5;9.25;;;N1;4;;3.5;7;6.25;51003168;6.4;8.4;7.3;Dat
3150;6;6.75;;;N1;4.4;;5.25;5.8;5.75;51003164;6;8.8;7.1;Dat
3151;;;4;4.25;N1;4.4;4.75;;5.2;6;51003165;4.3;9.8;7;Dat
3152;;;5.75;4.75;N1;5.2;4.75;;7.4;6.25;51003166;5.1;9.5;7.6;Dat
3153;;;6.5;6.25;N1;6.8;6;;7.2;7;51003167;6.3;8.7;8;Dat
3154;5.75;9.5;;;N1;4.6;;5.25;6.6;5.75;51003173;6.8;8.3;7.2;Dat
3155;8.5;8.25;;;N1;2.6;;6.25;4.6;5.75;51003170;7.7;9.8;7.2;Dat
3156;;;5;4;N1;2.8;4.25;;5.4;4.75;51003174;4.4;8.3;6.1;Dat
3157;;;4.25;3.75;N1;4;3.75;;7.2;5.75;51003172;3.9;9.2;7;Dat
3158;;;6.5;7.75;N1;6.4;6;;8.2;4.75;51003176;6.8;7.9;7.5;Dat
3159;;;3.75;3;N1;3.2;3.25;;5.2;5.25;51003175;3.3;8.3;6.1;Dat
3160;6;8.5;;;N1;4.8;;3.75;6;5;51003179;6.1;9;7.1;Dat
3161;8.5;9.25;;;N1;6.2;;7.75;7.2;7.5;51003177;8.5;9.6;8.6;Dat
3162;;;4.25;3.5;N1;2.2;4.75;;7.6;4.5;51003178;4.2;9.5;6.7;Dat
3163;8.25;9.25;;;N1;6;;6.5;7.2;5.75;51003186;8;8.5;7.9;Dat
3164;7.25;7.75;;;N1;4.6;;4.75;4.6;5.25;51003185;6.6;9;7;Dat
3165;;;6.5;4;N1;4.2;6.5;;7.2;5;51003180;5.7;7;6.6;Dat
3166;;;6.25;6.5;N1;4.8;5.5;;7.2;7.25;51003181;6.1;7.3;7.2;Dat
3167;;;5;4;N1;3.2;5;;6;6;51003187;4.7;8.1;6.5;Dat
3168;;;3;4.75;N1;2.8;4.25;;4.2;5.5;51003184;4;7.8;5.8;Dat
3169;6.5;8.25;;;N1;3.8;;4.5;5;3.25;51003190;6.4;8.7;6.4;Dat
3170;;;6.5;7;N1;4.6;5.5;;7.2;5;51003183;6.3;8.9;7.3;Dat
3171;;;7.75;5.75;N1;5;5.25;;7.6;5.5;51003192;6.3;9.2;7.6;Dat
3172;5;7.5;;;N1;2.6;;3.25;3.8;3.5;51003182;5.3;6.1;5.1;Dat
3173;5.5;7.25;;;N1;5.6;;4;6;6.25;51003195;5.6;9.3;7.5;Dat
3174;;;6.25;4;N1;5.6;6;;8;5.5;51003189;5.4;6.4;6.8;Dat
3175;;;3.75;5;N1;4;3.75;;6.6;6.25;51003194;4.2;8;6.7;Dat
3176;;;3.5;4.75;N1;3;2.5;;6.2;6;51003188;3.6;7.2;6.1;Dat
3177;;;7.25;5.25;N1;4.8;5.5;;6.4;7.5;51003191;6;8.6;7.5;Dat
3178;;;6;4.25;N1;5;4;;6.4;6.75;51003201;4.8;7.2;6.8;Dat
3179;;;6;6;N1;5.6;6;;5;5;51003197;6;7.4;6.6;Dat
3180;7.75;8.75;;;N1;4;;5;6;5;51003198;7.2;6.6;6.5;Dat
3181;;;6;4.25;N1;4.4;5.75;;5.6;7.5;51003199;5.3;6.2;6.5;Dat
3182;7;9.25;;;N1;5;;6.75;6;5.5;51003193;7.7;7.7;7.1;Dat
3183;7;8.25;;;N1;3.2;;5;6.6;5.5;51003200;6.8;6.9;6.5;Dat
3184;5.75;7.75;;;N1;3;;3.25;3.6;4.75;51003196;5.6;6.6;5.5;Dat
3185;;;5;5.5;N1;4.2;5.5;;6.8;6.25;51003205;5.3;7.6;6.8;Dat
3186;7;5.75;;;N1;3;;3.75;4.6;6;51003206;5.5;9.9;6.9;Dat
3187;;;6;7;N1;3.4;5.5;;8.2;6;51003204;6.2;6.4;6.7;Dat
3188;7.75;8;;;N1;3.8;;5;5.4;6;51003203;6.9;6.9;6.5;Dat
3189;;;7;5.75;N1;4.4;6;;7;6;51003208;6.3;7.9;7.1;Dat
3190;8.5;9.25;;;N1;5.4;;5.5;7;8;51003202;7.8;9.6;8.4;Dat
3191;;;5.75;4.75;N1;4.2;5.75;;7.6;6;51003213;5.4;7;6.8;Dat
3192;6.25;8.75;;;N1;2.4;;4.5;4.6;4;51003209;6.5;9.6;6.5;Dat
3193;7;8.75;;;N1;3.8;;4.5;5.8;5.25;51003207;6.8;8.5;6.9;Dat
3194;8;9;;;N1;8;;7.75;7.4;8;51003210;8.3;9.8;9.1;Dat
3195;7.5;8;;;N1;3;;5;6;5.5;51003212;6.8;6.9;6.4;Dat
3196;;;6.25;5.5;N1;5.8;7;;7.4;6.25;51003222;6.3;9.3;7.9;Dat
3197;;;6.75;6;N1;5.4;5.25;;7.8;7.25;51003214;6;8.7;7.8;Dat
3198;;;6.5;6.5;N1;5.2;6.5;;6.8;5.75;51003211;6.5;6.1;6.7;Dat
3199;;;4.25;2.5;N1;5.8;5.25;;6.2;6;51003215;4;6.1;6.3;Dat
3200;6.25;7.25;;;N1;2;;4.5;5.4;6;51003220;6;8.6;6.6;Dat
3201;;;7;5.75;N1;4.6;5;;7.4;6;51003217;5.9;7;6.9;Dat
3202;;;5.75;5.75;N1;3.6;6;;8.2;6.75;51003219;5.8;6.6;6.8;Dat
3203;;;5.25;3;N1;3.6;3.5;;4.8;6.5;51003218;3.9;7.5;6.1;Dat
3204;7.75;8.75;;;N1;4.4;;6;7;5.75;51003221;7.5;9.9;7.9;Dat
3205;5.25;6.5;;;N1;3.6;;2.25;5.2;4.25;51003224;4.7;9.5;6.6;Dat
3206;6.25;7.5;;;N1;3.8;;3.25;7.8;6;51003226;5.7;8.1;7.1;Dat
3207;;;5.25;4.25;N1;4;4.5;;5;5.75;51003216;4.7;6.3;5.9;Dat
3208;;;5.5;4.75;N1;4.8;6.75;;5.2;7;51003223;5.7;7.6;6.9;Dat
3209;7.75;9.5;;;N1;4.8;;7;7;5.5;51003229;8.1;7.3;7.2;Dat
3210;5.75;6.5;;;N1;2.6;;5.25;6.2;5.25;51003225;5.8;7.2;6.2;Dat
3211;6.75;7.5;;;N1;5.6;;5;6.6;5.25;51003230;6.4;9;7.5;Dat
3212;;;4.75;4;N1;3.4;3.25;;5.2;5.75;51003231;4;6.6;5.8;Dat
3213;;;7.25;3.75;N1;5.2;6.25;;8;4.75;51003228;5.8;9;7.5;Dat
3214;;;5.75;4.75;N1;4.4;4.25;;7;6.25;51003227;4.9;7;6.6;Dat
3215;6.5;8.25;;;N1;3.6;;4.75;5.2;5.5;51003233;6.5;8.2;6.7;Dat
3216;7.5;9.25;;;N1;3.6;;5.25;6.6;6.25;51003234;7.3;8;7.2;Dat
3217;6.75;8;;;N1;4;;5;5.6;6;51003238;6.6;8;6.9;Dat
3218;8;8.25;;;N1;4.6;;7.25;6.8;5;51003232;7.8;8.4;7.4;Dat
3219;7.75;8;;;N1;4;;4.25;6.2;6.5;51003241;6.7;6.6;6.7;Dat
3220;8;9.25;;;N1;7;;6.75;7;7.75;51003235;8;9;8.5;Dat
3221;;;6.25;5.75;N1;6.6;5.75;;6.2;6.67;51003236;5.9;8.1;7.5;Dat
3222;;;4.5;6;N1;3.6;5.25;;6.6;6.75;51003242;5.3;7.6;6.8;Dat
3223;;;5.5;5.5;N1;5.4;4;;5.2;5.75;51003237;5;7.5;6.6;Dat
3224;;;6.5;6.5;N1;5;5.5;;7.6;7;51003239;6.2;9.7;8;Dat
3225;;;6;6;N1;6.2;5;;7.4;6.25;51003243;5.7;9.5;7.9;Dat
3226;;;5.5;4;N1;5.2;5.25;;6.8;7.75;51003240;4.9;8;7.3;Dat
3227;;;5.25;5;N1;3.8;5.25;;5.2;5;51003246;5.2;9.8;6.9;Dat
3228;5.25;7;;;N1;4;;3.5;4.2;3;51003245;5.3;7.5;5.7;Dat
3229;;;4.25;4;N1;3.2;3.5;;5.4;6.25;51003247;3.9;9.8;6.8;Dat
3230;5.75;7.75;;;N1;4.2;;4.75;7;5;51003249;6.1;7.7;6.8;Dat
3231;;;6.75;6.75;N1;4;6;;7.2;7.5;51003244;6.5;8.7;7.6;Dat
3232;6.75;8.25;;;N1;4.2;;5.25;6.2;8;51003248;6.8;6.5;7;Dat
3233;6.75;8;;;N1;4.4;;3.5;5.2;6.75;51003253;6.1;6.7;6.5;Dat
3234;;;4.75;5;N1;4;5;;8;3.75;51003251;4.9;8.2;6.7;Dat
3235;6.25;7;;;N1;4.6;;5.25;6.4;3;51003257;6.2;9.8;7.1;Dat
3236;5;5.75;;;N1;4.4;;3.5;4.8;5.25;51003250;4.8;7.9;6.3;Dat
3237;9;9;;;N1;6.4;;8.5;7.2;6.25;51003255;8.8;9.1;8.3;Dat
3238;8;9;;;N1;5.2;;6.25;7.4;8.25;51003252;7.8;6.8;7.7;Dat
3239;;;5.5;4.75;N1;3;4.25;;5.2;4.25;51003254;4.8;6.1;5.4;Dat
3240;;;5.5;5;N1;4.4;5;;6;6.25;51003258;5.2;9.4;7.2;Dat
3241;;;4.75;5.25;N1;5.6;5.5;;7.2;5.5;51003260;5.2;8.6;7.3;Dat
3242;;;4.75;4.75;N1;5.2;4;;7.4;6.25;51003267;4.5;8.9;7.4;Dat
3243;7.25;8.5;;;N1;3.2;;4.25;5.8;6.25;51003262;6.7;6.7;6.5;Dat
3244;8;9.75;;;N1;4;;6;7.4;6.25;51003264;7.9;8.7;7.7;Dat
3245;;;5.25;4.75;N1;5.2;6.25;;5.8;6.5;51003261;5.4;7.6;6.9;Dat
3246;7.5;7;;;N1;2.8;;6;4.8;5.5;51003256;6.8;9;6.8;Dat
3247;;;4.5;6;N1;7.6;4;;5.8;6.25;51003268;4.8;7.9;7.2;Dat
3248;;;5;5;N1;6.8;5;;7.6;6.5;51003263;5;6.9;7.2;Dat
3249;8.5;9.75;;;N1;4;;7;7.4;6;51003259;8.4;7.9;7.5;Dat
3250;;;5.25;4;N1;6;5.25;;6.2;7.25;51003266;4.8;6.5;6.8;Dat
3251;;;6;5.5;N1;6.2;5.75;;8.4;7.25;51003270;5.8;8;7.8;Dat
3252;7.25;9;;;N1;4.8;;5.25;7.8;6.5;51003265;7.2;6.4;7.1;Dat
3253;;;4.75;3.5;N1;4.2;5.25;;7.6;7.25;51003271;4.5;8.6;7.3;Dat
3254;7.75;8.75;;;N1;5.2;;4.75;7.6;7.75;51003269;7.1;9.1;8.2;Dat
3255;;;4;5;N1;8.4;5;;6.4;7.75;51003274;4.7;7.1;7.5;Dat
3256;7.5;8.5;;;N1;5.2;;6.5;7.4;8;51003273;7.5;9.1;8.2;Dat
3257;8;9;;;N1;4.2;;6.25;5;5.5;51003279;7.8;7.5;6.8;Dat
3258;;;4;4.5;N1;5.2;5.25;;6.6;6.75;51003272;4.6;7.1;6.8;Dat
3259;;;7;7;N1;5.4;7;;7.6;7;51003276;7;8.9;8;Dat
3260;7.75;8.75;;;N1;5.4;;6.5;5.8;8;51003277;7.7;9.3;8.1;Dat
3261;8;9.25;;;N1;6;;6.5;7;8;51003275;7.9;7.7;8;Dat
3262;;;6.25;6.5;N1;2.8;4.5;;7.4;6;51003278;5.8;7.1;6.6;Dat
3263;7.25;6;;;N1;4.6;;6.75;7.4;5.5;51003282;6.7;7.1;7;Dat
3264;5.75;7.25;;;N1;2.8;;6.5;4.4;6.5;51003287;6.5;6.2;6;Dat
3265;;;7;5.25;N1;8.2;6.5;;7.6;8.75;51003280;6.3;7.5;8.2;Dat
3266;6.5;8.25;;;N1;2.8;;4.75;4;5.75;51003281;6.5;8.5;6.5;Dat
3267;;;5;6.5;N1;4.4;3.75;;6.2;5.75;51003289;5.1;6.7;6.4;Dat
3268;;;6.25;5.75;N1;6.4;5.75;;7.4;7.75;51003283;5.9;8;7.8;Dat
3269;6.5;7;;;N1;4.4;;6.75;5;7.5;51003284;6.8;7;6.8;Dat
3270;;;6;3.75;N1;3;3.75;;6.4;3.25;51003293;4.5;7.4;5.8;Dat
3271;5.25;6;;;N1;4.4;;3.75;6;5.5;51003291;5;7.2;6.4;Dat
3272;;;3.75;3.75;N1;4;3;;4.8;4;51003290;3.5;7.1;5.6;Dat
3273;6.5;6.75;;;N1;3.8;;4;5.2;5.5;51003294;5.8;9.9;7.1;Dat
3274;7;8.75;;;N1;4;;4.25;6;5.58;51003285;6.7;8.8;7.1;Dat
3275;5.5;6.25;;;N1;4.2;;2.75;4.6;5;51003286;4.8;7.8;6.2;Dat
3276;7.25;8.75;;;N1;5.4;;5.75;6.8;6.25;51003298;7.3;8;7.5;Dat
3277;;;6;5.75;N1;5;4.75;;7;5.5;51003288;5.5;7.5;6.9;Dat
3278;4.5;6.25;;;N1;3.2;;4.25;3.2;5;51003292;5;6.5;5.4;Dat
3279;7.25;5.75;;;N1;2.2;;4.25;4.8;6.25;51003297;5.8;9.6;6.8;Dat
3280;7.75;9.5;;;N1;5;;6.5;5.6;7.5;51003296;7.9;7.2;7.3;Dat
3281;7.25;9.5;;;N1;5.8;;5;6;6.25;51003299;7.3;8.5;7.6;Dat
3282;;;6;4.75;N1;6.8;6.25;;7.2;7.75;51003300;5.7;6.3;7.3;Dat
3283;;;5.5;6;N1;5.4;4.25;;7.4;5.75;51003295;5.3;6.7;6.8;Dat
3284;8.25;9.5;;;N1;6.4;;7.5;7;7.25;51003303;8.4;6.4;7.6;Dat
3285;;;7;5.25;N1;4.6;5.75;;6.6;5.5;51003302;6;6.3;6.5;Dat
3286;;;3.25;4.5;N1;4.4;2.75;;6.4;6.75;51003304;3.5;6;6.1;Dat
3287;7;9;;;N1;4.6;;5.5;5.4;6;51003305;7.2;6.6;6.6;Dat
3288;4.75;6;;;N1;2.8;;3.75;4.6;6;51003301;4.8;9.2;6.5;Dat
3289;6.5;7.5;;;N1;3.4;;6;5.8;5.5;51003308;6.7;9.4;7.2;Dat
3290;6.25;8;;;N1;3.6;;3.25;6.4;4.25;51003307;5.8;8;6.5;Dat
3291;;;6.5;7.5;N1;6.6;7.5;;8.8;7.75;51003309;7.2;6.9;8;Dat
3292;;;5.75;5;N1;6.2;4.5;;7.4;5.83;51003306;5.1;10;7.9;Dat
3293;7.5;8.25;;;N1;4.2;;6;5.4;5.25;51003314;7.3;9;7.2;Dat
3294;6.25;7.5;;;N1;3.2;;4.5;5.4;4.25;51003311;6.1;8.6;6.5;Dat
3295;8;8.75;;;N1;4.4;;7.5;5.8;7.25;51003310;8.1;6.2;6.9;Dat
3296;8.25;9;;;N1;4.4;;6.75;6;8.25;51003312;8;6.3;7.2;Dat
3297;;;4;3.5;N1;4.4;4;;5.4;6.25;51003313;3.8;8.8;6.7;Dat
3298;;;7;4.5;N1;6;6;;6.8;6;51003315;5.8;6.2;6.8;Dat
3299;6.25;7.5;;;N1;3;;4.75;5.2;4.5;51003316;6.2;9.2;6.7;Dat
3300;8;9.25;;;N1;5;;6.5;5;6.25;51003317;7.9;7.4;7;Dat
3301;;;6.5;4.25;N1;5;4.75;;6.8;6.75;51003318;5.2;6.3;6.6;Dat
3302;;;8;6.75;N1;6;5;;9.2;6.25;51003319;6.6;7.5;7.8;Dat
3303;;;5;6;N1;4.4;6;;6.4;6.5;51003324;5.7;6.5;6.6;Dat
3304;;;6.75;7;N1;6.8;5.75;;8;8.5;51003323;6.5;6.4;7.7;Dat
3305;6.75;8.25;;;N1;4.6;;5.25;6.8;6.75;51003321;6.8;6.4;6.9;Dat
3306;7.25;9.25;;;N1;5.8;;4.5;7;6;51003320;7;9.4;7.9;Dat
3307;;;6.5;5.5;N1;6.6;4.5;;6.6;5.75;51003322;5.5;6.4;6.8;Dat
3308;;;3.25;2.75;N1;3.4;4.25;;5.4;5.75;51003326;3.4;6.1;5.6;Dat
3309;7.25;8.25;;;N1;5.6;;4.5;6.4;6;51003327;6.7;6.7;6.9;Dat
3310;;;5.75;5.25;N1;3.8;5.25;;5.6;5.5;51003330;5.4;10;7.2;Dat
3311;;;7.25;6.75;N1;6.4;5.75;;6.6;6.75;51003325;6.6;8.9;7.9;Dat
3312;6.25;7.75;;;N1;4.4;;4.75;5.6;5.5;51003329;6.3;9.3;7.2;Dat
3313;8;9.5;;;N1;4.2;;6.5;7.8;7;51003334;8;7.9;7.7;Dat
3314;;;4.75;6.25;N1;4.8;5;;7.8;6.75;51003328;5.3;7.4;7.1;Dat
3315;8.75;9.5;;;N1;4.6;;7.25;6.4;7.5;51003331;8.5;7.6;7.6;Dat
3316;;;6.25;4.75;N1;3.6;5.5;;7;6.25;51003341;5.5;8;6.9;Dat
3317;8.25;8.5;;;N1;3.8;;6;6.2;6;51003332;7.6;9.5;7.6;Dat
3318;;;6.5;5.25;N1;3.8;4.75;;7;6.5;51003337;5.5;7.2;6.8;Dat
3319;;;5.75;6.5;N1;5.4;4.75;;5.6;5.25;51003336;5.7;6.6;6.4;Dat
3320;;;6;6.5;N1;7;6;;7.4;6;51003335;6.2;7.3;7.4;Dat
3321;;;5.5;5;N1;4.4;5;;6.4;7;51003339;5.2;7.8;7;Dat
3322;6.25;8.5;;;N1;2.8;;5.75;6.2;5.75;51003344;6.8;9.4;7.2;Dat
3323;;;6.5;4.75;N1;7.2;6.25;;7.8;7.5;51003345;5.8;9.8;8.5;Dat
3324;;;7.75;7.25;N1;6;6.25;;8.2;4;51003333;7.1;9.4;7.8;Dat
3325;7.25;7;;;N1;3.2;;4;6;5.5;51003343;6.1;7.6;6.5;Dat
3326;;;4.5;3.5;N1;5.2;3.75;;5;5.5;51003338;3.9;9.9;7;Dat
3327;7;8.5;;;N1;5.2;;6.5;7.4;7;51003347;7.3;8.4;7.8;Dat
3328;8;9;;;N1;5.4;;4.75;7.6;4.75;51003342;7.3;8.7;7.6;Dat
3329;;;5.25;3.75;N1;4.2;4.75;;8.2;6.75;51003346;4.6;7;6.9;Dat
3330;7.5;8.25;;;N1;3.4;;5.75;4.4;5;51003340;7.2;9.7;7;Dat
3331;6.25;8.5;;;N1;4.6;;5.75;7.2;6;51003350;6.8;7.8;7.2;Dat
3332;5.75;8;;;N1;4.6;;3.5;6.2;5;51003348;5.8;6.1;6.2;Dat
3333;7.5;8.5;;;N1;3.4;;5.75;5.6;5.5;51003349;7.3;7;6.5;Dat
3334;;;5.75;4.75;N1;5.6;5.25;;6.6;7.25;51003352;5.3;6.9;7;Dat
3335;;;6.25;4.25;N1;3.6;4;;5.4;5.25;51003354;4.8;7.8;6.3;Dat
3336;6;6.5;;;N1;4.6;;3.5;5;5.75;51003351;5.3;7.8;6.6;Dat
3337;7;8.25;;;N1;6.8;;6.25;6;7;51003353;7.2;7.9;7.7;Dat
3338;;;5.25;5.5;N1;5.4;6.25;;7.2;6.5;51003358;5.7;9.5;7.8;Dat
3339;7;8.75;;;N1;3;;5.5;5.6;5.5;51003357;7.1;9.9;7.3;Dat
3340;;;3.25;3.5;N1;2.8;3.75;;7.2;5.25;51003355;3.5;8.2;6.3;Dat
3341;7.5;9;;;N1;4;;7;5.8;5.25;51003356;7.8;8.5;7.1;Dat
3342;7.75;8.5;;;N1;3.6;;6;6.6;7.5;51003360;7.4;9.7;7.9;Dat
3343;;;6;6;N1;5.6;6.25;;7.2;7;51003359;6.1;9.2;7.9;Dat
3344;6.25;7;;;N1;4.4;;3.75;5.2;6;51003363;5.7;6.8;6.4;Dat
3345;5.75;6.5;;;N1;3.4;;4;3.4;6.25;51003364;5.4;9.3;6.6;Dat
3346;7.75;8.25;;;N1;6.8;;5.5;7.2;6.5;51003361;7.2;7.9;7.8;Dat
3347;4;6.75;;;N1;4.4;;1.75;5.2;5.25;51003365;4.2;9.3;6.7;Dat
3348;;;6.75;5;N1;6.2;8.25;;8;6;51003362;6.7;8.2;7.8;Dat
3349;;;4.5;3;N1;3;3.75;;7.6;6;51003366;3.8;9.4;7;Dat
3350;;;5.5;6.25;N1;7.2;5;;7.6;7;51003368;5.6;6.3;7.3;Dat
3351;4;7;;;N1;2.4;;4.5;4.8;4.25;51003370;5.2;9.4;6.3;Dat
3352;;;3.75;2.5;N1;2.8;4.5;;5.2;5.5;51003369;3.6;6.3;5.5;Dat
3353;;;2;3;N1;2.6;1.75;;2.4;3.5;51003367;2.3;6.3;4.4;Khong Dat
3354;8.5;8.25;;;N1;4.6;;7.75;7.6;6.25;51003374;8.2;6.3;7.2;Dat
3355;;;4.75;3.75;N1;4.4;6;;6.2;5;51003372;4.8;9.1;6.9;Dat
3356;;;5.75;4;N1;4.2;5.75;;7.4;4.5;51003373;5.2;6.9;6.4;Dat
3357;7;7.25;;;N1;4;;4.75;6.2;6.25;51003378;6.3;8;7;Dat
3358;;;7.25;6.25;N1;4.2;5.75;;7.8;6.5;51003371;6.4;6.3;6.8;Dat
3359;6.25;7.75;;;N1;6.4;;5;6.2;6.25;51003375;6.3;8.9;7.7;Dat
3360;5;6.5;;;N1;3;;3.75;4.6;5.5;51003379;5.1;9.4;6.6;Dat
3361;7.75;8.75;;;N1;4.4;;4.5;4.4;6.25;51003383;7;7.1;6.6;Dat
3362;7.5;9;;;N1;6.8;;4;6.2;6;51003381;6.8;9.5;8;Dat
3363;7;9;;;N1;3.8;;4.75;5.6;6;51003376;6.9;6.1;6.3;Dat
3364;5.5;8.5;;;N1;3.4;;4.5;5.2;5.5;51003385;6.2;7;6.3;Dat
3365;;;6.75;6;N1;6.8;6;;8.2;6.75;51003380;6.3;6.6;7.5;Dat
3366;7.75;8.5;;;N1;2;;5.5;4.8;5.75;51003386;7.3;7.7;6.4;Dat
3367;;;4.75;4.75;N1;6.2;6.25;;7.2;6.5;51003384;5.3;7.4;7.2;Dat
3368;5.75;7.25;;;N1;3.4;;4;6.4;5.5;51003390;5.7;6.5;6.2;Dat
3369;;;5.5;5.25;N1;4.2;4.25;;7.6;6;51003382;5;9.5;7.4;Dat
3370;;;4.75;3;N1;4;4;;6.8;5;51003389;3.9;6.7;6.1;Dat
3371;7.25;7.75;;;N1;3.4;;4;6.2;2.75;51003377;6.3;6.9;5.9;Dat
3372;;;7.25;7;N1;6.6;7.5;;7.6;6.25;51003391;7.3;9.4;8.3;Dat
3373;;;6.25;5;N1;4.6;6.75;;6.8;6.25;51003387;6;9.1;7.5;Dat
3374;;;4.5;3.25;N1;3;5.25;;6.4;4.5;51003392;4.3;9.6;6.7;Dat
3375;7;8.5;;;N1;4.2;;6;6.4;6;51003388;7.2;7.1;6.9;Dat
3376;;;5.25;4.75;N1;4.6;5.75;;7;5.5;51003393;5.3;8.3;7;Dat
3377;;;7.25;7;N1;5.4;5.75;;8.2;6.75;51003394;6.7;8.2;7.8;Dat
3378;7.75;8.75;;;N1;4.2;;5.25;6.2;5.25;51003395;7.3;7.2;6.8;Dat
3379;6.75;7.75;;;N1;4.8;;4.75;6.4;5.75;51003396;6.4;8.5;7.2;Dat
3380;8;9;;;N1;4.6;;6;6.4;6.75;51003397;7.7;9;7.8;Dat
3381;;;6.5;5;N1;4;5.25;;6.6;5;51003399;5.6;8.5;6.9;Dat
3382;6.5;5.75;;;N1;2.8;;3;4.4;4.75;51003402;5.1;9;6.3;Dat
3383;6.5;8.75;;;N1;4.6;;4;5.8;6.5;51003400;6.4;6.7;6.7;Dat
3384;6.75;8.5;;;N1;3.6;;6;6.2;7;51003401;7.1;9.4;7.6;Dat
3385;;;7;6.25;N1;5.8;5.75;;7;7;51003398;6.3;8.6;7.7;Dat
3386;8.25;9;;;N1;5.6;;6.75;7.2;6.25;51003408;8;9.9;8.3;Dat
3387;;;3.5;4.75;N1;3.6;3.5;;6.4;5.75;51003404;3.9;8.7;6.6;Dat
3388;7.5;8.5;;;N1;4.2;;5.25;5.4;5;51003406;7.1;6.2;6.3;Dat
3389;;;6.5;6.5;N1;8.6;6.75;;7.6;7;51003403;6.6;9;8.5;Dat
3390;;;6;3.75;N1;6;4.75;;5.8;7;51003405;4.8;9;7.4;Dat
3391;;;6.75;7.5;N1;7.4;5.25;;7.8;7.25;51003412;6.5;8;8.1;Dat
3392;6.75;6;;;N1;3.6;;2.75;5.4;5;51003410;5.2;9;6.7;Dat
3393;;;7.5;6.5;N1;5.2;5.75;;7.8;7.75;51003407;6.6;9.4;8.2;Dat
3394;;;7.75;5;N1;5.4;5.25;;8.2;6.5;51003414;6;7;7.3;Dat
3395;5.75;7.75;;;N1;5.4;;6.25;7.2;5.5;51003411;6.6;9.2;7.7;Dat
3396;;;5.25;4.5;N1;6.6;4.75;;7;6;51003409;4.8;8.2;7.3;Dat
3397;;;5.75;3.75;N1;4.2;5.75;;7.8;6.5;51003415;5.1;8.7;7.3;Dat
3398;;;5.75;4.75;N1;6.4;5;;7.4;6;51003417;5.2;7.3;7.2;Dat
3399;;;5.75;5.25;N1;5;5.25;;7;5;51003416;5.4;8;6.9;Dat
3400;;;4.75;4.75;N1;4.4;5.5;;6;5.75;51003413;5;8.1;6.7;Dat
3401;7.75;8.75;;;N1;5.4;;4.75;7;6.25;51003418;7.1;6.5;7.1;Dat
3402;;;4.25;6.25;N1;5.6;4.5;;5.4;4.25;51003419;5;8.1;6.6;Dat
3403;;;6.75;5.25;N1;5;3;;7.4;6;51003421;5;6.7;6.7;Dat
3404;7.5;8.75;;;N1;5.2;;4.25;6.6;4.5;51003420;6.8;8.4;7.2;Dat
3405;6.75;7.75;;;N1;6;;4.75;4.4;6.75;51003422;6.4;8.4;7.2;Dat
3406;6.75;8.5;;;N1;6;;5.25;5.8;5.5;51003425;6.8;8.6;7.4;Dat
3407;7.25;8;;;N1;5.4;;5.25;6.4;7.5;51003424;6.8;7.4;7.4;Dat
3408;8.25;8.75;;;N1;6.6;;6;7.8;6.5;51003423;7.7;9.1;8.3;Dat
3409;;;3.75;3.25;N1;4.8;3;;5;6;51003429;3.3;6.9;6;Dat
3410;;;7.25;4.5;N1;7.4;5.75;;7.8;6;51003427;5.8;7.9;7.7;Dat
3411;4.5;5.25;;;N1;2.6;;2.5;3;5.25;51003428;4.1;6.9;5.3;Dat
3412;5.75;7;;;N1;5.4;;6.25;5;5.25;51003433;6.3;7.4;6.7;Dat
3413;7.25;8;;;N1;4.2;;4.5;3.4;5;51003432;6.6;10;7;Dat
3414;8;8;;;N1;5.8;;8;6.8;7.5;51003434;8;8.2;8;Dat
3415;6.5;8.25;;;N1;6;;5.75;6.6;6.75;51003431;6.8;8.8;7.8;Dat
3416;8;8.75;;;N1;6;;6;6.2;6.25;51003435;7.6;8.9;7.8;Dat
3417;;;6.5;6.25;N1;4.8;5.75;;8.4;6.5;51003437;6.2;7.6;7.4;Dat
3418;;;5.75;5.25;N1;5.2;3.25;;6.2;6;51003430;4.8;6.3;6.4;Dat
3419;;;3;2.25;N1;4.6;5;;5.4;5;51003436;3.4;8.1;6.3;Dat
3420;5.75;6.75;;;N1;4.2;;4.75;6;5;51003440;5.8;8.3;6.8;Dat
3421;6.5;8.5;;;N1;5.2;;6.25;5.6;5.25;51003438;7.1;9.7;7.6;Dat
3422;7;9;;;N1;5;;8.25;7.6;6;51003426;8.1;6.7;7.3;Dat
3423;;;5.75;5.25;N1;4;5.25;;6.2;5.75;51003439;5.4;8.2;6.8;Dat
3424;6.5;8.5;;;N1;4;;5;5.8;5.75;51003442;6.7;8.4;7;Dat
3425;;;6.5;7.25;N1;7.2;3.75;;8;4.5;51003441;5.8;9.2;7.8;Dat
