@relation diemthifinal

@attribute sbd numeric
@attribute 'Diem xet tot nghiep' numeric
@attribute 'Dieu kien tot nghiep' {Dat,'Khong Dat'}

@data
51000939,5.2,Dat
51000937,7.6,Dat
51000942,5.7,Dat
51000940,7.1,Dat
51000944,6.2,Dat
51000945,8,Dat
51000943,7.8,Dat
51000948,8.6,Dat
51000946,8.7,Dat
51000952,5.4,Dat
51000950,7.2,Dat
51000954,7.5,Dat
51000953,5.9,Dat
51000951,7.6,Dat
51000962,5.4,Dat
51000966,6.2,Dat
51000959,8.4,Dat
51000955,8.5,Dat
51000961,7.9,Dat
51000964,7.1,Dat
51000967,6.6,Dat
51000970,6.2,Dat
51000963,7.7,Dat
51000969,6.5,Dat
51000965,7.2,Dat
51000972,6.9,Dat
51000980,8.2,Dat
51000974,7.9,Dat
51000979,7.8,Dat
51000977,8.1,Dat
51000973,8.5,Dat
51000978,8.4,Dat
51000976,7.6,Dat
51000983,7.8,Dat
51000981,6.4,Dat
51000982,6.4,Dat
51000987,7.5,Dat
51000991,7.1,Dat
51000988,7.8,Dat
51000992,8.6,Dat
51000993,7.3,Dat
51000996,7.6,Dat
51000998,8.4,Dat
51001000,8.2,Dat
51000994,6.1,Dat
51000995,6.9,Dat
51000990,7.3,Dat
51001001,8.4,Dat
51001004,7.6,Dat
51001005,8.4,Dat
51001009,8.3,Dat
51001010,8,Dat
51001007,8.1,Dat
51001002,8,Dat
51001020,7.6,Dat
51001013,8.1,Dat
51001008,8.1,Dat
51001015,7,Dat
51001016,6.7,Dat
51001017,7.3,Dat
51001022,8,Dat
51001018,9.2,Dat
51001021,8.6,Dat
51001024,6.6,Dat
51001030,8.1,Dat
51001025,7.5,Dat
51001027,7.1,Dat
51001026,6.7,Dat
51001029,7.8,Dat
51001033,7.3,Dat
51001032,6.1,Dat
51001031,8.5,Dat
51001036,6.8,Dat
51001035,7.7,Dat
51001040,8.5,Dat
51001037,7.8,Dat
51001039,7.7,Dat
51001034,6.7,Dat
51001042,7.3,Dat
51001041,7.5,Dat
51001047,4.9,'Khong Dat'
51001043,8.8,Dat
51001045,7.3,Dat
51001050,6.8,Dat
51001048,5.7,Dat
51001046,5.7,Dat
51001053,6.8,Dat
51001051,8.6,Dat
51001059,6.5,Dat
51001055,6.2,Dat
51001052,8.5,Dat
51001054,7.9,Dat
51001066,8.9,Dat
51001058,7.4,Dat
51001056,6.8,Dat
51001060,7.3,Dat
51001064,7.9,Dat
51001062,7.1,Dat
51001069,7.7,Dat
51001057,7.8,Dat
51001070,8.4,Dat
51001065,8.3,Dat
51001072,7.6,Dat
51001061,6.1,Dat
51001067,7.9,Dat
51001071,8.8,Dat
51001068,6.4,Dat
51001073,7.5,Dat
51001074,8.2,Dat
51001078,7.1,Dat
51001079,8.2,Dat
51001083,4.3,'Khong Dat'
51001075,7.2,Dat
51001081,5.5,Dat
51001077,4.9,'Khong Dat'
51001084,7.3,Dat
51001085,6.9,Dat
51001089,8.5,Dat
51001091,7.7,Dat
51001093,8.2,Dat
51001087,7.9,Dat
51001090,7.6,Dat
51001095,6.7,Dat
51001096,6,Dat
51001092,8.9,Dat
51001098,7.8,Dat
51001099,8.3,Dat
51001097,7.2,Dat
51001100,8.8,Dat
51001102,8.2,Dat
51001101,7.2,Dat
51001104,7.4,Dat
51001103,8.2,Dat
51001105,7,Dat
51001107,7.4,Dat
51001112,7.9,Dat
51001110,6.6,Dat
51001111,7.2,Dat
51001114,8,Dat
51001117,7.9,Dat
51001113,6.5,Dat
51001115,8.5,Dat
51001119,7.4,Dat
51001122,7.4,Dat
51001116,6.7,Dat
51001123,6.9,Dat
51001120,6.7,Dat
51001118,7.9,Dat
51001124,7.1,Dat
51001121,6.8,Dat
51001126,8.3,Dat
51001130,8.9,Dat
51001129,4.8,'Khong Dat'
51001127,7,Dat
51001138,8.9,Dat
51001134,8.1,Dat
51001137,8.6,Dat
51001132,7.5,Dat
51001128,7.2,Dat
51001140,7.7,Dat
51001136,7.3,Dat
51001139,7.7,Dat
51001141,8.3,Dat
51001146,7.6,Dat
51001142,5.8,Dat
51001145,6.8,Dat
51001147,7.5,Dat
51001144,7.5,Dat
51001148,7.4,Dat
51001150,8.6,Dat
51001143,6.6,Dat
51001152,8.3,Dat
51001153,7.6,Dat
51001154,7.7,Dat
51001151,7.3,Dat
51001156,8,Dat
51001158,6.3,Dat
51001155,5.9,Dat
51001160,6.6,Dat
51001161,7.4,Dat
51001165,8.3,Dat
51001166,8.5,Dat
51001164,6.7,Dat
51001163,5.6,Dat
51001162,8.1,Dat
51001175,5.8,Dat
51001169,7.3,Dat
51001179,4.8,'Khong Dat'
51001178,7.4,Dat
51001185,8.7,Dat
51001177,9,Dat
51001180,8.4,Dat
51001184,7.2,Dat
51001186,8.2,Dat
51001188,6.1,Dat
51001190,5.9,Dat
51001189,8.1,Dat
51001192,6,Dat
51001191,5.6,Dat
51001193,6.8,Dat
51001195,7.7,Dat
51001197,7.9,Dat
51001203,8.4,Dat
51001200,8.4,Dat
51001205,7.5,Dat
51001208,6.6,Dat
51001202,6.9,Dat
51001210,8.2,Dat
51001209,7.5,Dat
51001211,7.1,Dat
51001212,8.4,Dat
51001215,8.9,Dat
51001216,8.3,Dat
51001219,8,Dat
51001221,8,Dat
51001222,7.6,Dat
51001223,8.7,Dat
51001226,7.2,Dat
51001218,8.7,Dat
51001231,8.3,Dat
51001227,6.2,Dat
51001228,6.7,Dat
51001230,8.1,Dat
51001229,7.5,Dat
51001232,7.8,Dat
51001233,7.3,Dat
51001238,6.6,Dat
51001236,6.8,Dat
51001237,8,Dat
51001240,7.7,Dat
51001242,8.9,Dat
51001243,7.1,Dat
51001239,8.7,Dat
51001241,8.2,Dat
51001251,7.3,Dat
51001246,6.9,Dat
51001252,7.6,Dat
51001253,8.8,Dat
51001249,8.2,Dat
51001248,7.3,Dat
51001255,8.7,Dat
51001260,6.9,Dat
51001254,8.8,Dat
51001257,6.5,Dat
51001256,7.5,Dat
51001258,8.5,Dat
51001261,7.5,Dat
51001259,7.4,Dat
51001264,6.6,Dat
51001265,8,Dat
51001266,6.9,Dat
51001267,7,Dat
51001272,7.4,Dat
51001268,6.5,Dat
51001270,7.1,Dat
51001273,6.7,Dat
51001288,7.4,Dat
51001286,8,Dat
51001279,7.8,Dat
51001283,7.5,Dat
51001285,6.4,Dat
51001287,6.2,Dat
51001293,7.8,Dat
51001294,7.5,Dat
51001297,8.2,Dat
51001296,7.8,Dat
51001300,7.8,Dat
51001298,8.1,Dat
51001299,8.4,Dat
51001301,9.3,Dat
51001304,7.1,Dat
51001305,5.1,Dat
51001310,8.5,Dat
51001315,8.1,Dat
51001311,7.5,Dat
51001306,7.9,Dat
51001316,6.7,Dat
51001307,6,Dat
51001321,5.7,Dat
51001314,7.6,Dat
51001312,7.1,Dat
51001317,8.4,Dat
51001303,7,Dat
51001318,8.3,Dat
51001308,7.4,Dat
51001309,5.8,Dat
51001313,8.2,Dat
51001323,7.7,Dat
51001325,8,Dat
51001322,6.2,Dat
51001324,7.4,Dat
51001328,7.6,Dat
51001329,7.6,Dat
51001335,6.9,Dat
51001326,7.6,Dat
51001327,6.2,Dat
51001339,6.1,Dat
51001330,6,Dat
51001332,7,Dat
51001336,8,Dat
51001340,7.1,Dat
51001331,7.5,Dat
51001334,6.6,Dat
51001338,8.4,Dat
51001337,7.9,Dat
51001346,7.7,Dat
51001350,6.1,Dat
51001345,7.5,Dat
51001344,7.4,Dat
51001347,7.9,Dat
51001349,5.2,Dat
51001354,4.2,'Khong Dat'
51001348,6.7,Dat
51001352,7.4,Dat
51001362,5.9,Dat
51001361,6.5,Dat
51001351,6.4,Dat
51001358,7.4,Dat
51001360,6.3,Dat
51001356,7.8,Dat
51001359,5.1,Dat
51001366,5.7,Dat
51001365,6.9,Dat
51001364,7.7,Dat
